Y,x1,x2,x3,x4,x5,x6,x7
0,4,3,4,1,3,1,120
1,4,4,3,2,2,1,70
1,4,2,3,1,1,1,70
1,4,3,4,1,2,1,120
1,4,2,3,1,1,1,70
1,4,3,3,2,2,1,70
1,4,4,1,1,1,2,100
1,4,2,2,2,1,1,90
1,4,3,2,2,2,1,90
1,4,4,2,3,1,1,90
1,4,4,3,3,1,2,70
1,4,1,2,4,1,1,90
0,4,1,4,4,1,1,120
1,4,2,1,3,1,1,100
1,4,1,2,4,1,1,90
1,4,3,2,2,2,1,90
1,4,3,2,2,1,1,90
1,4,2,4,1,1,1,120
1,4,4,2,1,1,1,90
1,4,2,2,1,1,1,90
0,4,1,1,3,2,2,100
1,4,1,1,2,1,1,100
1,4,3,2,3,1,1,90
1,4,4,2,4,1,1,90
1,4,3,2,3,2,1,90
0,4,3,1,5,2,5,100
1,4,4,2,3,1,1,90
1,1,1,3,3,2,5,70
1,1,3,3,1,1,7,70
1,1,4,3,3,3,5,70
1,1,4,3,2,1,6,70
1,1,4,1,4,1,1,100
0,1,2,2,6,2,4,90
1,1,1,1,3,3,1,100
1,1,2,3,4,2,5,70
1,1,3,2,3,1,1,90
1,1,1,3,1,1,7,70
1,1,4,2,3,1,1,90
1,1,4,2,4,2,4,90
0,1,1,2,3,4,1,90
0,1,1,2,2,4,2,90
1,1,3,3,2,2,1,70
1,1,3,1,2,1,3,100
1,1,3,3,2,1,1,70
1,1,3,3,3,1,1,70
1,1,2,2,4,1,8,90
0,1,1,1,1,2,4,100
1,1,4,3,1,2,1,70
1,1,4,1,4,1,1,100
1,1,4,4,1,1,2,120
1,1,1,3,2,1,3,70
1,1,1,4,4,1,1,120
1,1,3,3,2,1,1,70
1,1,3,2,4,1,1,90
0,1,4,2,2,5,3,90
1,1,4,3,3,3,2,70
1,1,2,2,3,2,1,90
1,1,4,3,2,1,1,70
1,1,4,3,3,1,1,70
0,1,3,2,6,2,2,90
1,1,4,3,3,1,1,70
1,1,2,3,1,1,1,70
1,1,4,2,4,3,1,90
1,1,4,3,3,1,3,70
0,1,3,1,4,2,4,100
1,1,2,4,4,1,1,120
1,1,4,2,3,1,2,90
1,1,3,3,4,2,1,70
0,1,1,1,1,4,1,100
1,1,4,4,1,1,17,120
1,1,4,3,4,2,17,70
1,1,2,3,4,3,1,70
